Bidding Exercise,Announcement Date,Year,Category,Quota,Quota Premium,Total Bids Received,Number of Successful Bids
September 2007 Second Open Bidding Exercise,15/09/2007,2007,Cat C (Goods vehicles and buses),453,10501,590,453
October 2007 First Open Bidding Exercise,1/10/2007,2007,Cat C (Goods vehicles and buses),354,13989,496,347
October 2007 Second Open Bidding Exercise,15/10/2007,2007,Cat C (Goods vehicles and buses),344,15889,428,339
November 2007 First Open Bidding Exercise,1/11/2007,2007,Cat C (Goods vehicles and buses),352,15001,532,350
November 2007 Second Open Bidding Exercise,15/11/2007,2007,Cat C (Goods vehicles and buses),349,14389,488,349
December 2007 First Open Bidding Exercise,1/12/2007,2007,Cat C (Goods vehicles and buses),347,13000,431,340
December 2007 Second Open Bidding Exercise,15/12/2007,2007,Cat C (Goods vehicles and buses),344,11851,452,340
January 2006 First Open Bidding Exercise,1/1/2006,2006,Cat C (Goods vehicles and buses),607,5889,676,602
January 2006 Second Open Bidding Exercise,15/01/2006,2006,Cat C (Goods vehicles and buses),595,6302,826,594
February 2006 First Open Bidding Exercise,1/2/2006,2006,Cat C (Goods vehicles and buses),593,7296,841,585
February 2006 Second Open Bidding Exercise,15/02/2006,2006,Cat C (Goods vehicles and buses),588,8313,759,585
March 2006 First Open Bidding Exercise,1/3/2006,2006,Cat C (Goods vehicles and buses),596,8430,749,588
March 2006 Second Open Bidding Exercise,15/03/2006,2006,Cat C (Goods vehicles and buses),590,8600,748,564
April 2006 First Open Bidding Exercise,1/4/2006,2006,Cat C (Goods vehicles and buses),571,10059,781,566
April 2006 Second Open Bidding Exercise,15/04/2006,2006,Cat C (Goods vehicles and buses),590,11301,784,581
May 2006 First Open Bidding Exercise,1/5/2006,2006,Cat C (Goods vehicles and buses),568,12101,727,564
May 2006 Second Open Bidding Exercise,15/05/2006,2006,Cat C (Goods vehicles and buses),573,11100,710,566
June 2006 First Open Bidding Exercise,1/6/2006,2006,Cat C (Goods vehicles and buses),567,8657,672,567
June 2006 Second Open Bidding Exercise,15/06/2006,2006,Cat C (Goods vehicles and buses),571,6308,893,570
July 2006 First Open Bidding Exercise,1/7/2006,2006,Cat C (Goods vehicles and buses),563,5951,816,555
July 2006 Second Open Bidding Exercise,15/07/2006,2006,Cat C (Goods vehicles and buses),565,5501,815,503
August 2006 First Open Bidding Exercise,1/8/2006,2006,Cat C (Goods vehicles and buses),571,9001,775,568
August 2006 Second Open Bidding Exercise,15/08/2006,2006,Cat C (Goods vehicles and buses),626,10806,1165,617
September 2006 First Open Bidding Exercise,1/9/2006,2006,Cat C (Goods vehicles and buses),566,15201,844,555
September 2006 Second Open Bidding Exercise,15/09/2006,2006,Cat C (Goods vehicles and buses),573,14200,1027,417
October 2006 First Open Bidding Exercise,1/10/2006,2006,Cat C (Goods vehicles and buses),519,11203,900,509
October 2006 Second Open Bidding Exercise,15/10/2006,2006,Cat C (Goods vehicles and buses),663,2001,749,630
November 2006 First Open Bidding Exercise,1/11/2006,2006,Cat C (Goods vehicles and buses),518,3669,682,515
November 2006 Second Open Bidding Exercise,15/11/2006,2006,Cat C (Goods vehicles and buses),540,1003,577,539
December 2006 First Open Bidding Exercise,1/12/2006,2006,Cat C (Goods vehicles and buses),511,509,550,510
December 2006 Second Open Bidding Exercise,15/12/2006,2006,Cat C (Goods vehicles and buses),508,1,490,490
January 2005 First Open Bidding Exercise,1/1/2005,2005,Cat C (Goods vehicles and buses),672,3710,790,671
January 2005 Second Open Bidding Exercise,15/01/2005,2005,Cat C (Goods vehicles and buses),681,4189,830,681
February 2005 First Open Bidding Exercise,1/2/2005,2005,Cat C (Goods vehicles and buses),673,4301,850,672
February 2005 Second Open Bidding Exercise,15/02/2005,2005,Cat C (Goods vehicles and buses),672,4499,794,667
March 2005 First Open Bidding Exercise,1/3/2005,2005,Cat C (Goods vehicles and buses),673,6590,849,672
March 2005 Second Open Bidding Exercise,15/03/2005,2005,Cat C (Goods vehicles and buses),677,7100,823,669
April 2005 First Open Bidding Exercise,1/4/2005,2005,Cat C (Goods vehicles and buses),589,7100,733,582
April 2005 Second Open Bidding Exercise,15/04/2005,2005,Cat C (Goods vehicles and buses),596,6841,712,596
May 2005 First Open Bidding Exercise,1/5/2005,2005,Cat C (Goods vehicles and buses),595,5800,686,594
May 2005 Second Open Bidding Exercise,15/05/2005,2005,Cat C (Goods vehicles and buses),588,5900,719,583
June 2005 First Open Bidding Exercise,1/6/2005,2005,Cat C (Goods vehicles and buses),589,6450,712,587
June 2005 Second Open Bidding Exercise,15/06/2005,2005,Cat C (Goods vehicles and buses),593,6101,680,585
July 2005 First Open Bidding Exercise,1/7/2005,2005,Cat C (Goods vehicles and buses),590,6524,691,590
July 2005 Second Open Bidding Exercise,15/07/2005,2005,Cat C (Goods vehicles and buses),596,6501,715,585
August 2005 First Open Bidding Exercise,1/8/2005,2005,Cat C (Goods vehicles and buses),588,6500,723,588
August 2005 Second Open Bidding Exercise,15/08/2005,2005,Cat C (Goods vehicles and buses),598,6420,698,598
September 2005 First Open Bidding Exercise,1/9/2005,2005,Cat C (Goods vehicles and buses),588,7101,719,560
September 2005 Second Open Bidding Exercise,15/09/2005,2005,Cat C (Goods vehicles and buses),587,7264,679,587
October 2005 First Open Bidding Exercise,1/10/2005,2005,Cat C (Goods vehicles and buses),616,7334,741,616
October 2005 Second Open Bidding Exercise,15/10/2005,2005,Cat C (Goods vehicles and buses),587,7911,730,587
November 2005 First Open Bidding Exercise,1/11/2005,2005,Cat C (Goods vehicles and buses),588,8889,872,582
November 2005 Second Open Bidding Exercise,15/11/2005,2005,Cat C (Goods vehicles and buses),587,8711,717,587
December 2005 First Open Bidding Exercise,1/12/2005,2005,Cat C (Goods vehicles and buses),594,8501,694,575
December 2005 Second Open Bidding Exercise,15/12/2005,2005,Cat C (Goods vehicles and buses),587,5010,672,579
January 2004 First Open Bidding Exercise,1/1/2004,2004,Cat C (Goods vehicles and buses),688,6119,808,688
January 2004 Second Open Bidding Exercise,15/01/2004,2004,Cat C (Goods vehicles and buses),717,5502,956,716
February 2004 First Open Bidding Exercise,1/2/2004,2004,Cat C (Goods vehicles and buses),688,5497,804,688
February 2004 Second Open Bidding Exercise,15/02/2004,2004,Cat C (Goods vehicles and buses),689,5700,802,678
March 2004 First Open Bidding Exercise,1/3/2004,2004,Cat C (Goods vehicles and buses),688,7226,980,681
March 2004 Second Open Bidding Exercise,15/03/2004,2004,Cat C (Goods vehicles and buses),699,8658,1071,694
April 2004 First Open Bidding Exercise,1/4/2004,2004,Cat C (Goods vehicles and buses),638,12809,1042,616
April 2004 Second Open Bidding Exercise,15/04/2004,2004,Cat C (Goods vehicles and buses),635,15202,907,634
May 2004 First Open Bidding Exercise,1/5/2004,2004,Cat C (Goods vehicles and buses),653,13089,853,639
May 2004 Second Open Bidding Exercise,15/05/2004,2004,Cat C (Goods vehicles and buses),631,11101,839,624
June 2004 First Open Bidding Exercise,1/6/2004,2004,Cat C (Goods vehicles and buses),645,9003,879,640
June 2004 Second Open Bidding Exercise,15/06/2004,2004,Cat C (Goods vehicles and buses),637,8989,801,635
July 2004 First Open Bidding Exercise,1/7/2004,2004,Cat C (Goods vehicles and buses),636,8626,804,617
July 2004 Second Open Bidding Exercise,15/07/2004,2004,Cat C (Goods vehicles and buses),632,8503,837,631
August 2004 First Open Bidding Exercise,1/8/2004,2004,Cat C (Goods vehicles and buses),650,8192,823,650
August 2004 Second Open Bidding Exercise,15/08/2004,2004,Cat C (Goods vehicles and buses),631,7300,772,629
September 2004 First Open Bidding Exercise,1/9/2004,2004,Cat C (Goods vehicles and buses),631,7500,743,626
September 2004 Second Open Bidding Exercise,15/09/2004,2004,Cat C (Goods vehicles and buses),632,6797,710,626
October 2004 First Open Bidding Exercise,1/10/2004,2004,Cat C (Goods vehicles and buses),678,6300,795,677
October 2004 Second Open Bidding Exercise,15/10/2004,2004,Cat C (Goods vehicles and buses),678,5989,761,672
November 2004 First Open Bidding Exercise,1/11/2004,2004,Cat C (Goods vehicles and buses),673,5795,797,670
November 2004 Second Open Bidding Exercise,15/11/2004,2004,Cat C (Goods vehicles and buses),678,5001,803,648
December 2004 First Open Bidding Exercise,1/12/2004,2004,Cat C (Goods vehicles and buses),675,4851,791,675
December 2004 Second Open Bidding Exercise,15/12/2004,2004,Cat C (Goods vehicles and buses),702,4301,829,693
January 2003 First Open Bidding Exercise,1/1/2003,2003,Cat C (Goods vehicles and buses),577,13101,1017,566
January 2003 Second Open Bidding Exercise,15/01/2003,2003,Cat C (Goods vehicles and buses),605,11910,814,605
February 2003 First Open Bidding Exercise,1/2/2003,2003,Cat C (Goods vehicles and buses),582,12586,864,578
February 2003 Second Open Bidding Exercise,15/02/2003,2003,Cat C (Goods vehicles and buses),570,11201,786,570
March 2003 First Open Bidding Exercise,1/3/2003,2003,Cat C (Goods vehicles and buses),575,11208,742,574
March 2003 Second Open Bidding Exercise,15/03/2003,2003,Cat C (Goods vehicles and buses),570,10509,662,566
April 2003 First Open Bidding Exercise,1/4/2003,2003,Cat C (Goods vehicles and buses),603,11122,719,603
April 2003 Second Open Bidding Exercise,15/04/2003,2003,Cat C (Goods vehicles and buses),605,11113,684,591
May 2003 First Open Bidding Exercise,1/5/2003,2003,Cat C (Goods vehicles and buses),602,10889,781,595
May 2003 Second Open Bidding Exercise,15/05/2003,2003,Cat C (Goods vehicles and buses),615,10710,721,615
June 2003 First Open Bidding Exercise,1/6/2003,2003,Cat C (Goods vehicles and buses),609,10899,734,608
June 2003 Second Open Bidding Exercise,15/06/2003,2003,Cat C (Goods vehicles and buses),601,11301,724,584
July 2003 First Open Bidding Exercise,1/7/2003,2003,Cat C (Goods vehicles and buses),602,11995,761,598
July 2003 Second Open Bidding Exercise,15/07/2003,2003,Cat C (Goods vehicles and buses),618,12089,782,614
August 2003 First Open Bidding Exercise,1/8/2003,2003,Cat C (Goods vehicles and buses),605,12000,719,601
August 2003 Second Open Bidding Exercise,15/08/2003,2003,Cat C (Goods vehicles and buses),605,10999,736,599
September 2003 First Open Bidding Exercise,1/9/2003,2003,Cat C (Goods vehicles and buses),605,9981,771,605
September 2003 Second Open Bidding Exercise,15/09/2003,2003,Cat C (Goods vehicles and buses),607,10023,823,602
October 2003 First Open Bidding Exercise,1/10/2003,2003,Cat C (Goods vehicles and buses),688,9889,834,688
October 2003 Second Open Bidding Exercise,15/10/2003,2003,Cat C (Goods vehicles and buses),693,9090,879,690
November 2003 First Open Bidding Exercise,1/11/2003,2003,Cat C (Goods vehicles and buses),688,8489,871,685
November 2003 Second Open Bidding Exercise,15/11/2003,2003,Cat C (Goods vehicles and buses),691,7789,839,686
December 2003 First Open Bidding Exercise,1/12/2003,2003,Cat C (Goods vehicles and buses),691,6941,854,691
December 2003 Second Open Bidding Exercise,15/12/2003,2003,Cat C (Goods vehicles and buses),693,6508,820,664
April 2002 First Open Bidding Exercise,1/4/2002,2002,Cat C (Goods vehicles and buses),506,23001,795,506
April 2002 Second Open Bidding Exercise,15/04/2002,2002,Cat C (Goods vehicles and buses),506,24001,813,490
May 2002 First Open Bidding Exercise,1/5/2002,2002,Cat C (Goods vehicles and buses),506,24801,900,472
May 2002 Second Open Bidding Exercise,15/05/2002,2002,Cat C (Goods vehicles and buses),522,24002,815,508
June 2002 First Open Bidding Exercise,1/6/2002,2002,Cat C (Goods vehicles and buses),540,22804,800,540
June 2002 Second Open Bidding Exercise,15/06/2002,2002,Cat C (Goods vehicles and buses),519,20434,727,519
July 2002 First Open Bidding Exercise,1/7/2002,2002,Cat C (Goods vehicles and buses),506,17501,749,504
July 2002 Second Open Bidding Exercise,15/07/2002,2002,Cat C (Goods vehicles and buses),505,16889,682,501
August 2002 First Open Bidding Exercise,1/8/2002,2002,Cat C (Goods vehicles and buses),508,16501,719,504
August 2002 Second Open Bidding Exercise,15/08/2002,2002,Cat C (Goods vehicles and buses),509,16409,702,509
September 2002 First Open Bidding Exercise,1/9/2002,2002,Cat C (Goods vehicles and buses),510,16403,671,508
September 2002 Second Open Bidding Exercise,15/09/2002,2002,Cat C (Goods vehicles and buses),505,16409,615,487
October 2002 First Open Bidding Exercise,1/10/2002,2002,Cat C (Goods vehicles and buses),508,17581,682,508
October 2002 Second Open Bidding Exercise,15/10/2002,2002,Cat C (Goods vehicles and buses),523,16819,651,517
November 2002 First Open Bidding Exercise,1/11/2002,2002,Cat C (Goods vehicles and buses),571,14995,709,570
November 2002 Second Open Bidding Exercise,15/11/2002,2002,Cat C (Goods vehicles and buses),576,13789,736,567
December 2002 First Open Bidding Exercise,1/12/2002,2002,Cat C (Goods vehicles and buses),572,12552,773,566
December 2002 Second Open Bidding Exercise,15/12/2002,2002,Cat C (Goods vehicles and buses),579,10001,682,544
January 2022 Second Open Bidding Exercise,19/01/2022,2022,Cat D (Motorcycles),416,10000,520,401
January 2022 First Open Bidding Exercise,5/1/2022,2022,Cat D (Motorcycles),431,9689,573,429
December 2021 Second Open Bidding Exercise,22/12/2021,2021,Cat D (Motorcycles),426,9601,562,422
December 2021 First Open Bidding Exercise,8/12/2021,2021,Cat D (Motorcycles),420,9401,584,400
November 2021 Second Open Bidding Exercise,17/11/2021,2021,Cat D (Motorcycles),412,9381,557,397
November 2021 First Open Bidding Exercise,3/11/2021,2021,Cat D (Motorcycles),417,9381,543,409
October 2021 Second Open Bidding Exercise,20/10/2021,2021,Cat D (Motorcycles),450,9310,597,449
October 2021 First Open Bidding Exercise,6/10/2021,2021,Cat D (Motorcycles),444,9052,633,438
September 2021 Second Open Bidding Exercise,22/09/2021,2021,Cat D (Motorcycles),449,9089,658,443
September 2021 First Open Bidding Exercise,8/9/2021,2021,Cat D (Motorcycles),445,9689,562,445
August 2021 Second Open Bidding Exercise,18/08/2021,2021,Cat D (Motorcycles),451,9500,635,447
August 2021 First Open Bidding Exercise,4/8/2021,2021,Cat D (Motorcycles),449,8899,667,449
July 2021 Second Open Bidding Exercise,22/07/2021,2021,Cat D (Motorcycles),655,8689,863,649
July 2021 First Open Bidding Exercise,7/7/2021,2021,Cat D (Motorcycles),616,8502,760,612
June 2021 Second Open Bidding Exercise,23/06/2021,2021,Cat D (Motorcycles),618,8501,864,577
June 2021 First Open Bidding Exercise,9/6/2021,2021,Cat D (Motorcycles),626,8703,776,624
May 2021 Second Open Bidding Exercise,19/05/2021,2021,Cat D (Motorcycles),628,8701,904,625
May 2021 First Open Bidding Exercise,5/5/2021,2021,Cat D (Motorcycles),650,8011,901,639
April 2021 Second Open Bidding Exercise,21/04/2021,2021,Cat D (Motorcycles),546,8000,734,532
April 2021 First Open Bidding Exercise,7/4/2021,2021,Cat D (Motorcycles),560,8000,735,524
March 2021 Second Open Bidding Exercise,17/03/2021,2021,Cat D (Motorcycles),542,7791,700,538
March 2021 First Open Bidding Exercise,3/3/2021,2021,Cat D (Motorcycles),542,7752,707,524
February 2021 Second Open Bidding Exercise,17/02/2021,2021,Cat D (Motorcycles),554,7500,715,554
February 2021 First Open Bidding Exercise,3/2/2021,2021,Cat D (Motorcycles),572,7506,705,572
January 2021 Second Open Bidding Exercise,20/01/2021,2021,Cat D (Motorcycles),529,7501,692,498
January 2021 First Open Bidding Exercise,6/1/2021,2021,Cat D (Motorcycles),529,7501,692,498
December 2020 Second Open Bidding Exercise,23/12/2020,2020,Cat D (Motorcycles),530,7689,710,507
December 2020 First Open Bidding Exercise,9/12/2020,2020,Cat D (Motorcycles),526,7670,767,522
November 2020 Second Open Bidding Exercise,18/11/2020,2020,Cat D (Motorcycles),537,7300,679,532
November 2020 First Open Bidding Exercise,4/11/2020,2020,Cat D (Motorcycles),533,7251,727,532
October 2020 Second Open Bidding Exercise,21/10/2020,2020,Cat D (Motorcycles),423,7300,560,410
October 2020 First Open Bidding Exercise,7/10/2020,2020,Cat D (Motorcycles),429,7451,677,420
September 2020 Second Open Bidding Exercise,23/09/2020,2020,Cat D (Motorcycles),494,7331,642,492
September 2020 First Open Bidding Exercise,9/9/2020,2020,Cat D (Motorcycles),496,7399,691,488
August 2020 Second Open Bidding Exercise,19/08/2020,2020,Cat D (Motorcycles),495,7432,797,491
August 2020 First Open Bidding Exercise,5/8/2020,2020,Cat D (Motorcycles),503,7701,720,497
July 2020 Second Open Bidding Exercise,22/07/2020,2020,Cat D (Motorcycles),869,6510,1355,864
July 2020 First Open Bidding Exercise,8/7/2020,2020,Cat D (Motorcycles),869,7702,1611,856
March 2020 Second Open Bidding Exercise,18/03/2020,2020,Cat D (Motorcycles),581,4489,757,576
March 2020 First Open Bidding Exercise,4/3/2020,2020,Cat D (Motorcycles),593,4310,785,587
February 2020 Second Open Bidding Exercise,19/02/2020,2020,Cat D (Motorcycles),577,4309,729,574
February 2020 First Open Bidding Exercise,5/2/2020,2020,Cat D (Motorcycles),578,4401,821,562
January 2020 Second Open Bidding Exercise,22/01/2020,2020,Cat D (Motorcycles),693,4610,936,693
